email,preferred_name,previous_experience,confidence,pref_less_comfortable,pref_fast_pace,pref_retake,pref_plus_12
student1@umich.edu,Name1,1,1,TRUE,TRUE,FALSE,FALSE
student2@umich.edu,Name2,2,3,FALSE,TRUE,FALSE,FALSE
student3@umich.edu,Name3,1,1,TRUE,FALSE,FALSE,FALSE
student4@umich.edu,Name4,2,3,TRUE,TRUE,FALSE,FALSE
student5@umich.edu,Name5,2,3,FALSE,TRUE,FALSE,FALSE
student6@umich.edu,Name6,5,4,FALSE,TRUE,FALSE,FALSE
student7@umich.edu,Name7,4,4,FALSE,TRUE,FALSE,FALSE
student8@umich.edu,Name8,3,3,FALSE,FALSE,FALSE,FALSE
student9@umich.edu,Name9,3,4,FALSE,TRUE,FALSE,FALSE
student10@umich.edu,Name10,4,2,FALSE,TRUE,TRUE,FALSE
student11@umich.edu,Name11,2,2,FALSE,FALSE,FALSE,FALSE
student12@umich.edu,Name12,4,4,FALSE,FALSE,FALSE,FALSE
student13@umich.edu,Name13,5,5,FALSE,TRUE,FALSE,FALSE
student14@umich.edu,Name14,3,4,FALSE,TRUE,FALSE,FALSE
student15@umich.edu,Name15,2,4,FALSE,TRUE,FALSE,FALSE
student16@umich.edu,Name16,1,3,FALSE,FALSE,TRUE,FALSE
student17@umich.edu,Name17,5,5,FALSE,TRUE,FALSE,FALSE
student18@umich.edu,Name18,1,3,FALSE,TRUE,FALSE,FALSE
student19@umich.edu,Name19,2,3,FALSE,FALSE,FALSE,FALSE
student20@umich.edu,Name20,3,3,FALSE,FALSE,FALSE,FALSE
student21@umich.edu,Name21,3,3,FALSE,TRUE,FALSE,FALSE
student22@umich.edu,Name22,3,3,TRUE,TRUE,FALSE,FALSE
student23@umich.edu,Name23,1,3,TRUE,FALSE,FALSE,FALSE
student24@umich.edu,Name24,1,2,TRUE,FALSE,FALSE,FALSE
student25@umich.edu,Name25,3,3,FALSE,FALSE,FALSE,FALSE
student26@umich.edu,Name26,3,4,FALSE,TRUE,FALSE,FALSE
student27@umich.edu,Name27,3,3,TRUE,FALSE,FALSE,FALSE
student28@umich.edu,Name28,2,3,FALSE,TRUE,FALSE,FALSE
student29@umich.edu,Name29,2,5,FALSE,TRUE,FALSE,FALSE
student30@umich.edu,Name30,5,5,FALSE,TRUE,FALSE,FALSE
student31@umich.edu,Name31,1,3,FALSE,TRUE,FALSE,FALSE
student32@umich.edu,Name32,4,4,FALSE,TRUE,FALSE,FALSE
student33@umich.edu,Name33,2,3,FALSE,TRUE,TRUE,FALSE
student34@umich.edu,Name34,3,3,FALSE,TRUE,FALSE,FALSE
student35@umich.edu,Name35,4,3,FALSE,TRUE,FALSE,FALSE
student36@umich.edu,Name36,1,3,TRUE,FALSE,FALSE,FALSE
student37@umich.edu,Name37,5,4,FALSE,TRUE,FALSE,FALSE
student38@umich.edu,Name38,2,2,FALSE,TRUE,FALSE,FALSE
student39@umich.edu,Name39,3,3,FALSE,FALSE,FALSE,FALSE
student40@umich.edu,Name40,2,2,TRUE,FALSE,FALSE,FALSE
student41@umich.edu,Name41,3,3,FALSE,TRUE,FALSE,FALSE
student42@umich.edu,Name42,1,1,TRUE,TRUE,FALSE,FALSE
student43@umich.edu,Name43,4,4,TRUE,TRUE,TRUE,FALSE
student44@umich.edu,Name44,1,5,FALSE,TRUE,FALSE,FALSE
student45@umich.edu,Name45,2,3,TRUE,FALSE,FALSE,FALSE
student46@umich.edu,Name46,3,4,FALSE,TRUE,FALSE,FALSE
student47@umich.edu,Name47,1,2,TRUE,FALSE,FALSE,FALSE
student48@umich.edu,Name48,2,5,TRUE,TRUE,FALSE,FALSE
student49@umich.edu,Name49,3,3,FALSE,FALSE,FALSE,FALSE
student50@umich.edu,Name50,3,3,FALSE,TRUE,FALSE,FALSE
student51@umich.edu,Name51,4,3,FALSE,TRUE,FALSE,FALSE
student52@umich.edu,Name52,5,5,FALSE,FALSE,FALSE,FALSE
student53@umich.edu,Name53,3,4,FALSE,TRUE,FALSE,FALSE
student54@umich.edu,Name54,2,3,FALSE,TRUE,FALSE,FALSE
student55@umich.edu,Name55,4,5,FALSE,TRUE,FALSE,FALSE
student56@umich.edu,Name56,2,3,FALSE,FALSE,FALSE,FALSE
student57@umich.edu,Name57,1,3,FALSE,FALSE,FALSE,FALSE
student58@umich.edu,Name58,2,3,FALSE,TRUE,FALSE,FALSE
student59@umich.edu,Name59,2,4,FALSE,TRUE,FALSE,FALSE
student60@umich.edu,Name60,4,4,FALSE,TRUE,FALSE,FALSE
student61@umich.edu,Name61,1,5,TRUE,FALSE,FALSE,FALSE
student62@umich.edu,Name62,3,3,FALSE,TRUE,FALSE,FALSE
student63@umich.edu,Name63,3,3,TRUE,FALSE,FALSE,FALSE
student64@umich.edu,Name64,4,4,FALSE,TRUE,FALSE,FALSE
student65@umich.edu,Name65,5,5,FALSE,TRUE,FALSE,FALSE
student66@umich.edu,Name66,2,2,TRUE,FALSE,FALSE,FALSE
student67@umich.edu,Name67,1,4,FALSE,TRUE,FALSE,FALSE
student68@umich.edu,Name68,3,4,FALSE,TRUE,FALSE,FALSE
student69@umich.edu,Name69,3,3,FALSE,TRUE,FALSE,FALSE
student70@umich.edu,Name70,5,4,FALSE,TRUE,FALSE,FALSE
student71@umich.edu,Name71,4,4,FALSE,TRUE,FALSE,FALSE
student72@umich.edu,Name72,3,3,FALSE,TRUE,FALSE,FALSE
student73@umich.edu,Name73,1,2,FALSE,TRUE,FALSE,FALSE
student74@umich.edu,Name74,2,2,FALSE,TRUE,FALSE,FALSE
student75@umich.edu,Name75,1,3,FALSE,TRUE,FALSE,FALSE
student76@umich.edu,Name76,3,3,FALSE,FALSE,FALSE,FALSE
student77@umich.edu,Name77,1,2,FALSE,FALSE,FALSE,FALSE
student78@umich.edu,Name78,2,3,FALSE,FALSE,FALSE,FALSE
student79@umich.edu,Name79,5,4,FALSE,TRUE,FALSE,FALSE
student80@umich.edu,Name80,1,2,FALSE,TRUE,FALSE,FALSE
student81@umich.edu,Name81,3,4,FALSE,TRUE,FALSE,FALSE
student82@umich.edu,Name82,3,3,TRUE,FALSE,TRUE,FALSE
